22481999,"Thank you for this piece. Intersected with my own memories from about the same period when my late wife and I lived in Tianjin and I taught at Nankai University and she at a foreign languages middle school, first 1985-87, then 1990-91 w/ '88-89 summer back for shorter visits. Regular trips up to Beijing allowed us time to see many of the places you note. The area of  Ritan Park you describe was a favorite place. Even shortly after June 6, 1989 (I think in fact June 7-9) when we stayed at the Ritan Hotel briefly in the wake of the demonstrations and killings, the area brought a certain calmness that disappeared as we walked toward Jianguomen Wai DaJie. I appreciate your memories and sentiments. ",Joseph Schneider,4567900,"Des Moines, IA, USA",5906b3197c459f24986dd003
22403818,"Yet Beijings streets, walls, temples, gardens and alleys were part of a carefully woven tapestry that reflected the constellations above, geomantic forces below and an invisible overlay of holy mountains and gods. It was a total work of art, epitomizing the political-religious system that ran traditional China for millenniums. It was Chinese belief incarnate.""<br/><br/>As so once was Lhasa and the rest of Tibet...",Dave from Auckland,9532031,Auckland,5906b3197c459f24986dd003
22401188,"this is a romantic view of the city, one that sells an image, not reality.  I married into a Beijing family and got to see parts of the city that are desperate, dirty, depressing, out-dated by centuries, secrets, unsavory habits and full of every safety and fire code violation you can think of.  I really hate it when the government and public only  choose to glorify the pretty historical images  and not the reality of how human behavior is shaped and shaping the reality of day to day living.  ",Citizen X,15945286,New Jersey,5906b3197c459f24986dd003
22398900,"I work with Chinese in film and technology. They are so industrious and full of knowledge unlike Americans with whom I've worked. One won an Emmy. But the demand for them is so great they travel the world always ending up in Beijing. The emails and dropboxed films and schematics stop. No Facebook. No discussions of politics. Then after a year or three, they return to me in NYC. Emails, dropboxes, lots of working, lots of breathing air that is not grey. But never a discussion on China or politics. I have met their visiting parents, who always bring beautiful gifts in beautiful gift wrapping. We bow. We joke about Trump; they laugh. But these adult-children are again in demand. I have to fight for their talent and work ethics. As for Beijing, all they will say is, Can't see or breathe. They teach at universities when there and freelance for companies. One announced that she had married when home; her husband was in Beijing while she traveled incessantly. Another, the sweetest, most beautiful young woman, had also been bequeathed by her parents. Yet we were in love. She walked fifteen feet behind me then would rush up to open doors for me. She eventually left to marry so no emails, no communication. A comparison is New Delhi; the best tech workers, home blackened, marriages arranged. But no communication because the Internet backbone was minimal. Now Trump wants these people out; no green cards. So we marry by choice and divorce.",Lillian F. Schwartz,68448445,NYC,5906b3197c459f24986dd003
22398474,The Chinese government provides public places where people can worship while America does everything it can to remove worship on public property.,Gary,67191008,"Spartanburg, South Carolina",5906b3197c459f24986dd003
22398195,"Good to see Beijing mentioned  is some other context that high pollution count, it is an incredibly cosmopolitan city.<br/>Interesting to see Ian Johnson search for religion around former temples, the Chinese do have some form of religion but it is occasional, burning incenses before the family altar very common, the expectant mother at the temple asking prayers from a monk, or back again for an ill baby, and always with death, as family and friends knell in turn and pray before a picture of the entombed, while drums and gongs are played near by. The religion is internalized and likely never disappeared even in the days of the Chairman. It does not require a lot of apparatus. ",wsmrer,48996245,chengbu,5906b3197c459f24986dd003
22393244,"What baloney!  Beijing would be one of the largest cesspools in the world, except it's turning into a polluted desert even faster than it has become a cesspool.  Even the sewage and filth is drying up under the relentless onslaught of drought and encroaching desertification.  You can ignore the realities, but people who read regular reports on what is happening to the environment and climate worldwide know exactly what is happening in Beijing.  Your city will look like that 4000 funerary ""garden"" uncovered earlier this week at the tomb of one of Pharaoh Hatsepshut's court officials.  Dead and buried under 50 feet of sand and gravel.",Janet Newton,48530983,"WI, USA",5906b3197c459f24986dd003
22392478,"Wonderful city and people, but have they done anything to improve the sanitation and toilet situation?  ",LFDJR,17231301,San Francisco,5906b3197c459f24986dd003
22391586,"Thank you for bringing back memories of Ritan Park.  For me, visits to the park were a noon time sojourn to a small restaurant which, as other comments have mentioned, was a delightful place to enjoy delicious meals at incredibly low prices.  I recall many of the dishes and particularly enjoyed Ma Po Dofu, Dong Po Zhou Zi, Hui Guo Ruo, Yu Xiang Rou Si (and Chie Zi) - and of course Gong Bao Ji Ding - plus Bo Cai and other delicious green vegetables when we could get them - sometimes challenging in the very early 80's in Beijing.<br/><br/>In the early 90's We frequently took driving trips with our colleagues through the countryside heading out to Badaling, moving east toward Mu Tian Yu, picnic'ing somewhere along the way at noon, visiting the Great Wall or not... finding new and interesting places and hiking through undeveloped terrain and finally returning to Ritan Park for a group meal...  <br/><br/>The pictures of the tulips surprises me.  My first visit to the park was in 1981 and my most recent in 2008...  Such changes!",Bob,62237153,Seattle,5906b3197c459f24986dd003
22372965,"I sought out the Altar of the Sun when I was last in Beijing in December 2015.  Unhappily, I found the shrine completely surrounded by a wooden fence whose locked gate made it difficult to photograph and impossible to approach.  Perhaps there are times when the gate is unlocked but I was unable to find anyone in the area who might have known.  On the other hand, I'd certainly recommend a visit to the nearby Dongyue Temple and, even more so, to the magnificent pagoda at Tianning Temple some distance away. The latter is by far and away the most impressive pagoda in Beijing but few foreign travelers seem to know that it exists.   ",stu freeman,35591703,brooklyn,5906b3197c459f24986dd003
