approveDate,commentBody,commentID,commentSequence,createDate,depth,editorsSelection,parentID,parentUserDisplayName,permID,picURL,recommendations,recommendedFlag,replyCount,reportAbuseFlag,sharing,status,timespeople,trusted,updateDate,userDisplayName,userID,userLocation,userTitle,userURL,inReplyTo,articleID,sectionName,newDesk
1494713997,"Thank you for this piece. Intersected with my own memories from about the same period when my late wife and I lived in Tianjin and I taught at Nankai University and she at a foreign languages middle school, first 1985-87, then 1990-91 w/ '88-89 summer back for shorter visits. Regular trips up to Beijing allowed us time to see many of the places you note. The area of  Ritan Park you describe was a favorite place. Even shortly after June 6, 1989 (I think in fact June 7-9) when we stayed at the Ritan Hotel briefly in the wake of the demonstrations and killings, the area brought a certain calmness that disappeared as we walked toward Jianguomen Wai DaJie. I appreciate your memories and sentiments. ",22481999,22481999,1494639109,1,FALSE,0,,22481999,https://graphics8.nytimes.com/images/apps/timespeople/none.png,0,,0,,0,approved,1,0,1494713997,Joseph Schneider,4567900,"Des Moines, IA, USA",,,0,5906b3197c459f24986dd003,Unknown,Travel
1494207396,"Between 2010 up until June of last year I visited China every year at least once and several times twice for up to three months at a time. Although I spent most of my time each trip in Hubei Province studying T'aiji at Wudangshan, each trip I arrived and departed from Beijing and chose to spend several days in the city. I always stayed in a hostel located in one or another hutongs on the west side. My favorite park was Yuetan where the Temple of the Moon is located. It's quite and very quiet - except most mornings between 10AM and noon a singer from the Beijing Opera performed with a small ensemble of Chinese musical instruments. It was fascinating, even enthralling. The entry cost was 10 Quai (about $1.65).<br/>As for the pollution there, it varied quite a bit. In early Autumn and Spring the sky was sometimes amazingly clear. At the end of November 2015 however the pollution was so thick that after we boarded our plane to leave for Seattle we were not cleared for takeoff for about twenty minutes.<br/>Beijing has riches, but it can be overwhelmingly bewildering due to its size and complexity. Two things make it less difficult than many other cities: 1. An excellent Metro system and 2. Perhaps the best airport in the world.",22404509,22404509,1494201387,1,FALSE,0,,22404509,https://graphics8.nytimes.com/images/apps/timespeople/none.png,2,,0,,1,approved,1,0,1494207397,fahrender,46672394,"east lansing, michigan",,,0,5906b3197c459f24986dd003,Unknown,Travel
1494207395,"""Yet Beijing’s streets, walls, temples, gardens and alleys were part of a carefully woven tapestry that reflected the constellations above, geomantic forces below and an invisible overlay of holy mountains and gods. It was a total work of art, epitomizing the political-religious system that ran traditional China for millenniums. It was Chinese belief incarnate.""<br/><br/>As so once was Lhasa and the rest of Tibet...",22403818,22403818,1494193340,1,FALSE,0,,22403818,https://graphics8.nytimes.com/images/apps/timespeople/none.png,3,,1,,1,approved,1,0,1494862866,Dave from Auckland,9532031,Auckland,,,0,5906b3197c459f24986dd003,Unknown,Travel
1494180991,"this is a romantic view of the city, one that sells an image, not reality.  I married into a Beijing family and got to see parts of the city that are desperate, dirty, depressing, out-dated by centuries, secrets, unsavory habits and full of every safety and fire code violation you can think of.  I really hate it when the government and public only  choose to glorify the pretty historical images  and not the reality of how human behavior is shaped and shaping the reality of day to day living.  ",22401188,22401188,1494172465,1,FALSE,0,,22401188,https://graphics8.nytimes.com/images/apps/timespeople/none.png,6,,2,,0,approved,1,0,1494180996,Citizen X,15945286,New Jersey,,,0,5906b3197c459f24986dd003,Unknown,Travel
1494180991,"I work with Chinese in film and technology. They are so industrious and full of knowledge unlike Americans with whom I've worked. One won an Emmy. But the demand for them is so great they travel the world always ending up in Beijing. The emails and dropboxed films and schematics stop. No Facebook. No discussions of politics. Then after a year or three, they return to me in NYC. Emails, dropboxes, lots of working, lots of breathing air that is not grey. But never a discussion on China or politics. I have met their visiting parents, who always bring beautiful gifts in beautiful gift wrapping. We bow. We joke about Trump; they laugh. But these adult-children are again in demand. I have to fight for their talent and work ethics. As for Beijing, all they will say is, Can't see or breathe. They teach at universities when there and freelance for companies. One announced that she had married when home; her husband was in Beijing while she traveled incessantly. Another, the sweetest, most beautiful young woman, had also been bequeathed by her parents. Yet we were in love. She walked fifteen feet behind me then would rush up to open doors for me. She eventually left to marry so no emails, no communication. A comparison is New Delhi; the best tech workers, home blackened, marriages arranged. But no communication because the Internet backbone was minimal. Now Trump wants these people out; no green cards. So we marry by choice and divorce.",22398900,22398900,1494158499,1,FALSE,0,,22398900,https://graphics8.nytimes.com/images/apps/timespeople/none.png,2,,0,,0,approved,1,0,1494181003,Lillian F. Schwartz,68448445,NYC,,,0,5906b3197c459f24986dd003,Unknown,Travel
1494180991,The Chinese government provides public places where people can worship while America does everything it can to remove worship on public property.,22398474,22398474,1494154757,1,FALSE,0,,22398474,https://graphics8.nytimes.com/images/apps/timespeople/none.png,0,,3,,0,approved,1,0,1494180997,Gary,67191008,"Spartanburg, South Carolina",,,0,5906b3197c459f24986dd003,Unknown,Travel
1494180991,"Good to see Beijing mentioned  is some other context that high pollution count, it is an incredibly cosmopolitan city.<br/>Interesting to see Ian Johnson search for religion around former temples, the Chinese do have some form of religion but it is occasional, burning incenses before the family altar very common, the expectant mother at the temple asking prayers from a monk, or back again for an ill baby, and always with death, as family and friends knell in turn and pray before a picture of the entombed, while drums and gongs are played near by. The religion is internalized and likely never disappeared even in the days of the Chairman. It does not require a lot of apparatus. ",22398195,22398195,1494148033,1,FALSE,0,,22398195,https://graphics8.nytimes.com/images/apps/timespeople/none.png,3,,0,,0,approved,1,0,1494180997,wsmrer,48996245,chengbu,,,0,5906b3197c459f24986dd003,Unknown,Travel
1494180991,"What baloney!  Beijing would be one of the largest cesspools in the world, except it's turning into a polluted desert even faster than it has become a cesspool.  Even the sewage and filth is drying up under the relentless onslaught of drought and encroaching desertification.  You can ignore the realities, but people who read regular reports on what is happening to the environment and climate worldwide know exactly what is happening in Beijing.  Your city will look like that 4000 funerary ""garden"" uncovered earlier this week at the tomb of one of Pharaoh Hatsepshut's court officials.  Dead and buried under 50 feet of sand and gravel.",22393244,22393244,1494085401,1,FALSE,0,,22393244,https://graphics8.nytimes.com/images/apps/timespeople/none.png,2,,2,,0,approved,1,0,1494180998,Janet Newton,48530983,"WI, USA",,,0,5906b3197c459f24986dd003,Unknown,Travel
1494120022,"Wonderful city and people, but have they done anything to improve the sanitation and toilet situation?  ",22392478,22392478,1494081066,1,FALSE,0,,22392478,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,,0,,0,approved,1,0,1494120022,LFDJR,17231301,San Francisco,,,0,5906b3197c459f24986dd003,Unknown,Travel
1494120022,"Thank you for bringing back memories of Ritan Park.  For me, visits to the park were a noon time sojourn to a small restaurant which, as other comments have mentioned, was a delightful place to enjoy delicious meals at incredibly low prices.  I recall many of the dishes and particularly enjoyed Ma Po Dofu, Dong Po Zhou Zi, Hui Guo Ruo, Yu Xiang Rou Si (and Chie Zi) - and of course Gong Bao Ji Ding - plus Bo Cai and other delicious green vegetables when we could get them - sometimes challenging in the very early 80's in Beijing.<br/><br/>In the early 90's We frequently took driving trips with our colleagues through the countryside heading out to Badaling, moving east toward Mu Tian Yu, picnic'ing somewhere along the way at noon, visiting the Great Wall or not... finding new and interesting places and hiking through undeveloped terrain and finally returning to Ritan Park for a group meal...  <br/><br/>The pictures of the tulips surprises me.  My first visit to the park was in 1981 and my most recent in 2008...  Such changes!",22391586,22391586,1494076535,1,FALSE,0,,22391586,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,,0,,0,approved,1,0,1494120022,Bob,62237153,Seattle,,,0,5906b3197c459f24986dd003,Unknown,Travel
